,Post_Content,Date,Comments_Shares,All_Responses,Brand
770,"Know someone who loves Pinot Grigio?
Our wine buyer Ed Betts reckons they’ll love our Wine Atlas Cococciola – a fresh, lemony dry white wine that impressed the judges at the Decanter World Wine Awards. It's now just £5 in our RollBack Event that features more than 1,000 products. Read Ed's Thirsty Thursday blog here: http://bit.ly/2wLPO6J","August 31, 2017",553 Comments268 Shares,4.3K,asda
771,"Know someone who loves Pinot Grigio?
Our wine buyer Ed Betts reckons they’ll love our Wine Atlas Cococciola – a fresh, lemony dry white wine that impressed the judges at the Decanter World Wine Awards. It's now just £5 in our RollBack Event that features more than 1,000 products. Read Ed's Thirsty Thursday blog here: http://bit.ly/2wLPO6J","August 31, 2017",553 Comments268 Shares,4.3K,asda
772,"Turn your back garden into a beer garden with our 3 for £21 offer on selected beer packs #justaddasda
Shop now: http://bit.ly/2v8Rqau
Selected stores. Subject to availability.","August 31, 2017",926 Comments293 Shares614K Views,1.6K,asda
773,"Turn your back garden into a beer garden with our 3 for £21 offer on selected beer packs #justaddasda
Shop now: http://bit.ly/2v8Rqau
Selected stores. Subject to availability.","August 31, 2017",926 Comments293 Shares614K Views,1.6K,asda
774,"WARNING: There are a number of supermarket voucher scams circulating online, with messages like: ""Asda are giving away an £85 voucher to celebrate their anniversary”.
These are nothing to do with us and may be an attempt to capture your personal data. Please warn your friends if they share these posts with you and believe they are genuine.","August 31, 2017","503 Comments9,676 Shares",1.2K,asda
775,"WARNING: There are a number of supermarket voucher scams circulating online, with messages like: ""Asda are giving away an £85 voucher to celebrate their anniversary”.
These are nothing to do with us and may be an attempt to capture your personal data. Please warn your friends if they share these posts with you and believe they are genuine.","August 31, 2017","503 Comments9,676 Shares",1.2K,asda
776,The blueberry ‘surprise’ gateau is an absolute showstopper! Have a look at this recipe and seven others that will show you the best way to enjoy the last of the summer fruit.,"August 30, 2017",29 Comments9 Shares,58,asda
777,The blueberry ‘surprise’ gateau is an absolute showstopper! Have a look at this recipe and seven others that will show you the best way to enjoy the last of the summer fruit.,"August 30, 2017",29 Comments9 Shares,58,asda
778,The latest issue of our Good Living magazine is in stores now. Pick up a free copy for more of Miguel Barclay's fab £1 meal ideas and tips on how to make the most of your leftovers.,"August 30, 2017",19 Comments10 Shares11K Views,83,asda
779,The latest issue of our Good Living magazine is in stores now. Pick up a free copy for more of Miguel Barclay's fab £1 meal ideas and tips on how to make the most of your leftovers.,"August 30, 2017",19 Comments10 Shares11K Views,83,asda
