Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-04-28 00:00:00,2018,Sainsburys,Your lazy weekend needs Sainsbury’s magazine’s mega cheesy Marmite crumpet loaf! Get the recipe: http://bit.ly/2vqMsGG,5800,14000,7654,1200000
2018-04-26 00:00:00,2018,Sainsburys,Sainsbury’s magazine’s lemon crumble cake is the best of both baking worlds. Get the zesty recipe for the perfect teatime treat: http://bit.ly/2vv1Thk,1000,352,538,63000
2018-04-25 00:00:00,2018,Sainsburys,*Blooper alert* You'll definitely want to see these 👀,276,25,11,94000
2018-04-16 00:00:00,2018,Sainsburys,"Ham, egg and chips gets a makeover in this tasty spring hash from Sainsbury’s magazine. Get the recipe: http://bit.ly/2qsSL7G",282,101,48,0
2018-04-13 00:00:00,2018,Sainsburys,"Meet Sainsbury’s magazine’s BEST-EVER cake as voted for by readers. Strawberry, passion fruit and white chocolate with a fancy collar finish – isn’t it a beauty? Get the recipe: http://bit.ly/2H1hBVV",150,45,32,11000
2018-04-10 00:00:00,2018,Sainsburys,"Pack in the veg with Sainsbury’s magazine’s hearty chickpea, cauliflower and squash curry – just add naan! Get the recipe: http://bit.ly/2GVHmXv",224,61,38,0
2018-04-06 00:00:00,2018,Sainsburys,"Hip hip hooray, Sainsbury’s magazine is 25! Pick up a copy of the April issue OUT NOW, packed with 36 new recipes including funfetti celebration cake, tasty new dishes for the weekend, plus a free bar of Lindt chocolate for every reader! Take a look inside: http://bit.ly/2E2iasN",208,36,18,21000
2018-04-05 00:00:00,2018,Sainsburys,Baking your way through the weekend? Try this winner 😍,29,21,3,742000
2018-04-04 00:00:00,2018,Sainsburys,Which shelfie are you?,471,392,71,254000
2018-04-02 00:00:00,2018,Sainsburys,Baa! A handful of marshmallows turn cupcakes into these cute sheep. Get Sainsbury’s magazine’s recipe: http://bit.ly/2uC4hT2,284,124,74,53000
