Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video,Has_Hashtag,Hashtag_Count,Likes,Response_Rate,Comments_Rate,Shares_Rate,Video_Rate
2018-10-21,2018,Sainsburys,These fun cola spider cupcakes are the perfect Halloween party piece. Kids will love decorating them! Get the Sainsbury’s magazine recipe: http://bit.ly/2AeVo2s,102,31,18,0,True,False,False,0,1693767.0,6.022079778387464e-05,1.8302399326471706e-05,1.0627199608919054e-05,0.0
2018-10-20,2018,Sainsburys,"*Warning* Sainsbury’s magazine’s sesame honey halloumi fries are incredibly moreish. Try them for your next party! Get the recipe:
http://bit.ly/2AiiqoZ",881,823,192,0,True,False,False,0,1693709.0,0.0005201601928076191,0.0004859158214309542,0.00011336067766068432,0.0
2018-10-19,2018,Sainsburys,"Let us surprise you with strange masks, props and mooore this Halloween 🎃http://bit.ly/2RLu0zU",541,102,230,0,True,False,False,0,1693621.0,0.0003194339229378946,6.022598916758826e-05,0.00013580370106416962,0.0
2018-10-14,2018,Sainsburys,"It’s never too early to bake your Christmas cake. Try Sainsbury’s magazine’s whisky and ginger number, with added festive warmth from three types of ginger. Get the recipe: http://bit.ly/2CAX6Oa",310,88,89,0,True,False,False,0,1692824.0,0.00018312594811982814,5.198414011143509e-05,5.257486897633777e-05,0.0
2018-10-12,2018,Sainsburys,Meat eaters! Thought you didn't like vegan food? This might change your mind...,2400,1500,1145,1000000,False,True,False,0,1692586.0,0.0014179486300843795,0.0008862178938027374,0.0006764796589360894,0.5908119292018249
2018-10-10,2018,Sainsburys,"Frying pan sage and onion toad in the hole… oh autumn food, we love you! Get the Sainsbury’s magazine recipe: http://bit.ly/2CzqHY9",385,99,86,0,True,False,False,0,1692422.0,0.00022748463444696417,5.8496048857790796e-05,5.081474951282836e-05,0.0
2018-10-08,2018,Sainsburys,🚨Good deed alert 🚨Got any spare LEGO cards? You can help Lauren to create the most epic LEGO swap-shop ever for the Children at the Royal Marsden Hospital. Find out how to donate in the comments below 👇,702,520,922,262000,False,True,False,0,1692307.0,0.0004148183515165984,0.00030727285297525806,0.0005448184046984383,0.15481824515291848
2018-10-06,2018,Sainsburys,The secret ingredient in The Ritz’s shortbread? Cinnamon and a grated egg yolk! The yolk gives a wonderful crumb. Get the recipe from Sainsbury’s magazine: http://bit.ly/2OiSQs4,200,38,34,0,True,False,False,0,1692265.0,0.00011818479966199148,2.2455111935778383e-05,2.009141594253855e-05,0.0
2018-10-03,2018,Sainsburys,"This bacon and egg fried rice uses a few ingredients that you’ll have kicking about your storecupboard, making it a quick and easy midweek meal for two! Get the Sainsbury’s magazine recipe: http://bit.ly/2OiSCRK",100,24,17,0,True,False,False,0,1692309.0,5.9090863429787356e-05,1.4181807223148966e-05,1.004544678306385e-05,0.0
2018-09-30,2018,Sainsburys,Up your bangers and mash game with a mustard and cheese-topped sausage pie! Get the Sainsbury’s magazine recipe: http://bit.ly/2xsfF2H,414,155,73,0,True,False,False,0,1692299.0,0.00024463762018414,9.159137953754035e-05,4.3136585201551255e-05,0.0
2018-09-28,2018,Sainsburys,Winter warmer come through 🙌 Aaand it's vegan...,1600,649,574,400000,False,True,False,0,1692100.0,0.0009455705927545652,0.00038354707168607063,0.00033922345015070034,0.2363926481886413
2018-09-26,2018,Sainsburys,"Sainsbury’s magazine’s October issue is here and it’s only £1! Jam-packed with 40 new recipes including dishes for easy entertaining, spooky Halloween bakes, an autumnal feast, the best-ever Christmas cake, plus loads more. Get your copy today! http://bit.ly/2xrvJlo",133,36,10,15000,True,True,False,0,1691966.0,7.860678051450207e-05,2.1277023297158453e-05,5.9102842492106816e-06,0.008865426373816022
2018-09-22,2018,Sainsburys,Apple pie gets turbo-charged with a cinnamon swirl topping. Get the Sainsbury’s magazine recipe: http://bit.ly/2PQLTLO,516,253,194,71000,True,True,False,0,1691859.0,0.00030498995483666186,0.00014953964839859588,0.00011466676596572173,0.04196567208023837
2018-09-19,2018,Sainsburys,Mango chutney is the star ingredient in Sainsbury’s magazine’s sticky chicken with fragrant pilau – on the table in 30 minutes! Get the recipe: http://bit.ly/2PMTY40,198,42,21,0,True,False,False,0,1691799.0,0.00011703517971106497,2.4825644181134996e-05,1.2412822090567496e-05,0.0
2018-09-18,2018,Sainsburys,You won't beet-lieve the tasty goodies you can make 😉,938,1100,391,485000,False,True,False,0,1691774.0,0.0005544475798776905,0.0006502050510292746,0.0002311183408658603,0.2866813179538165
2018-09-15,2018,Sainsburys,This fun rice crispie celebration cake is a fabulous no-bake party piece that feeds 16! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVM5fR,302,89,45,0,True,False,False,0,1691234.0,0.00017856783863143716,5.262429681522486e-05,2.660779052455189e-05,0.0
2018-09-12,2018,Sainsburys,"This bacon and pea pasta is like an all-in-one spaghetti carbonara, but with just one pan to wash up. Plus it only costs 62p per serving! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVfBlE",363,101,75,0,True,False,False,0,1690646.0,0.00021471082651246918,5.974047790016361e-05,4.4361741014972965e-05,0.0
2018-09-11,2018,Sainsburys,All the cheeeeese 🤤🧀,3800,3600,1291,2000000,False,True,False,0,1690533.0,0.002247811784803964,0.0021295059013932294,0.0007636644774162943,1.1830588341073496
2018-09-06,2018,Sainsburys,Pie season is upon us! Try Sainsbury’s magazine’s tasty chicken and leek pie with crispy potato topping. Get the recipe: http://bit.ly/2NoQjvC,527,167,148,0,True,False,False,0,1690371.0,0.00031176587861481294,9.879487994055743e-05,8.755474389941617e-05,0.0
2018-09-04,2018,Sainsburys,"It’s cake week! There’s two showstoppers, but you can only pick one… 🤔",7100,649,431,0,False,False,False,0,1690223.0,0.00420062914775151,0.00038397300237897605,0.00025499593840576064,0.0
2018-09-01,2018,Sainsburys,If summer were a pud it would be Sainsbury’s magazine’s super-easy strawberry cheesecake bowl. Get the recipe: http://bit.ly/2MLZyWv,290,54,34,29000,True,True,False,0,1690112.0,0.00017158626173886698,3.1950545289306266e-05,2.0117009996970612e-05,0.0171586261738867
2018-08-30,2018,Sainsburys,"Get your hands on Sainsbury’s magazine’s thrifty issue, packed with clever ways to help you save money. Don't miss midweek meals from 62p per serving, delicious cookie dough recipes and epic pies for autumn – OUT NOW! Take a peek here: http://bit.ly/2NfiASg",224,51,20,29000,True,True,False,0,1690195.0,0.00013252908688050788,3.017403317368706e-05,1.1832954185759632e-05,0.01715778356935146
2018-08-29,2018,Sainsburys,Got to be beans on toast for us...😏,287,66,23,620000,False,True,False,0,1690118.0,0.00016981062860699667,3.905052783296787e-05,1.3608517275125168e-05,0.3668382917642437
2018-08-25,2018,Sainsburys,"Inspired by the classic ploughman’s lunch, these yummy scones are packed with cheese and pickle. Get the Sainsbury’s magazine recipe: http://bit.ly/2MEMgLE",365,164,139,34000,True,True,False,0,1689874.0,0.00021599243493893627,9.704865569859054e-05,8.225465330551272e-05,0.020119843254585844
2018-08-23,2018,Sainsburys,"Gaynor, we think you’re a star ⭐",826,160,133,282000,False,True,False,0,1689581.0,0.0004888786036301309,9.469803460147813e-05,7.871774126247867e-05,0.16690528598510518
2018-08-22,2018,Sainsburys,"This chicken kiev traybake has all the flavours of the breaded treat… but is ready in 30 minutes. Winner, winner, chicken dinner! Get the Sainsbury’s magazine recipe: http://bit.ly/2MoqcW0",239,63,51,0,True,False,False,0,1689491.0,0.00014146272457207527,3.7289337439501005e-05,3.0186606498643678e-05,0.0
2018-08-20,2018,Sainsburys,That friend who doesn’t want to admit their holiday’s over...,328,82,24,426000,False,True,False,0,1689302.0,0.00019416303301600306,4.854075825400077e-05,1.4207051196292909e-05,0.2521751587341991
